NO,KDSKPD,NMSKPD,KDSUBUNIT,NMSUBUNIT,KDKEGIATAN,NMKEGIATAN,KDSUBKEGIATAN,NMSUBKEGIATAN,KDREK,NMREK,PAGU,SUMBERDANA
1,1.03.0.00.0.00.02.0000,Dinas Cipta Karya dan Sumberdaya Air,1.03.0.00.0.00.02.0000,Dinas Cipta Karya dan Sumberdaya Air,1.03.07.1.01,Penyelenggaraan Infrastruktur Pada Permukiman Di Kawasan Strategis Daerah Provinsi,1.03.07.1.01.0026,Pembangunan Sistem Penyediaan Air Minum (Spam) Jaringan Perpipaan Di Kawasan Strategis Provinsi,5.1.02.02.008.00021,Belanja Jasa Konsultansi Pengawasan Rekayasa-Jasa Pengawas Pekerjaan Konstruksi Teknik Sipil Air,1750000000,Dana Bagi Hasil (DBH)
2,1.03.0.00.0.00.01.0000,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,1.03.0.00.0.00.01.0000,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,1.03.01.1.03,Administrasi Barang Milik Daerah Pada Perangkat Daerah,1.03.01.1.03.0003,Koordinasi Dan Penilaian Barang Milik Daerah Skpd,5.1.02.02.001.00053,Belanja Jasa Pengukuran Tanah,100000000,Dana Bagi Hasil (DBH)
3,1.05.0.00.0.00.01.0000,Satuan Polisi Pamong Praja Provinsi Sulawesi Tengah,1.05.0.00.0.00.01.0000,Satuan Polisi Pamong Praja Provinsi Sulawesi Tengah,1.05.01.1.09,Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,1.05.01.1.09.0007,Pemeliharaan Aset Tetap Lainnya,5.1.02.03.002.00123,Belanja Pemeliharaan Alat Kantor dan Rumah Tangga-Alat Rumah Tangga-Alat Rumah Tangga Lainnya (Home Use),10000000,Dana Bagi Hasil (DBH)
4,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0001,UPT Panti Sosial Anak,1.06.04.1.02,Rehabilitasi Sosial Dasar Anak Terlantar Di Dalam Panti,1.06.04.1.02.0005,Penyediaan Perbekalan Kesehatan Di Dalam Panti,5.1.02.01.001.00030,Belanja Alat/Bahan untuk Kegiatan Kantor-Perabot Kantor,2819125,Pendapatan Asli Daerah (PAD)
5,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0001,Cabang Dinas Pendidikan Wilayah I,1.01.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,1.01.01.1.08.0004,Penyediaan Jasa Pelayanan Umum Kantor,5.1.02.01.001.00029,Belanja Alat/Bahan untuk Kegiatan Kantor-Bahan Komputer,1375000,Dana Bagi Hasil (DBH)
6,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.02.1.02,"Penyediaan Layanan Kesehatan Untuk Ukp Rujukan, Ukm Dan Ukm Rujukan Tingkat Daerah Provinsi",1.02.02.1.02.0011,Pengelolaan Pelayanan Kesehatan Penyakit Menular Dan Tidak Menular,5.1.02.01.001.00052,Belanja Makanan dan Minuman Rapat,18000000,Pendapatan Asli Daerah (PAD)
7,1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",1.04.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,1.04.01.1.08.0004,Penyediaan Jasa Pelayanan Umum Kantor,5.1.02.02.001.00030,Belanja Jasa Tenaga Kebersihan,98839100,Pendapatan Asli Daerah (PAD)
8,1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",1.04.2.10.0.00.01.0000,"Dinas Perumahan, Kawasan Permukiman dan Pertanahan Provinsi Sulawesi Tengah",1.04.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,1.04.01.1.08.0004,Penyediaan Jasa Pelayanan Umum Kantor,5.1.02.02.001.00030,Belanja Jasa Tenaga Kebersihan,525000000,Dana Bagi Hasil (DBH)
9,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.0.00.0.00.01.0005,UPT Badan Pelatihan Kesehatan,1.02.01.1.02,Administrasi Keuangan Perangkat Daerah,1.02.01.1.02.0002,Penyediaan Administrasi Pelaksanaan Tugas ASN,5.1.02.02.001.00080,Belanja Honorarium Penanggungjawaban Pengelola Keuangan,20120000,Dana Alokasi Umum (DAU)
10,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0003,Cabang Dinas Pendidikan Wilayah III,1.01.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,1.01.01.1.08.0004,Penyediaan Jasa Pelayanan Umum Kantor,5.1.02.02.001.00060,Belanja Tagihan Air,4545000,Dana Bagi Hasil (DBH)
11,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.01.1.02,Administrasi Keuangan Perangkat Daerah,1.06.01.1.02.0001,Penyediaan Gaji Dan Tunjangan ASN,5.1.02.02.001.00088,Belanja jasa Pegawai Pemerintah dengan Perjanjian Kerja (PPPK) Paruh Waktu pada jabatan operator layanan operasional,415800000,Pendapatan Asli Daerah (PAD)
12,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.01.1.01,"Perencanaan, Penganggaran, Dan Evaluasi Kinerja Perangkat Daerah",1.01.01.1.01.0002,Koordinasi Dan Penyusunan Dokumen Rka- Skpd,5.1.02.01.001.00052,Belanja Makanan dan Minuman Rapat,6600000,Dana Bagi Hasil (DBH)
13,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.0.00.0.00.01.0004,UPT Laboratorium Kesehatan,1.02.01.1.06,Administrasi Umum Perangkat Daerah,1.02.01.1.06.0002,Penyediaan Peralatan Dan Perlengkapan Kantor,5.1.02.01.001.00024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,8000000,Dana Bagi Hasil (DBH)
14,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.01.1.06,Administrasi Umum Perangkat Daerah,1.01.01.1.06.0009,Penyelenggaraan Rapat Koordinasi Dan Konsultasi Skpd,5.1.02.01.001.00052,Belanja Makanan dan Minuman Rapat,67500000,Dana Bagi Hasil (DBH)
15,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.01.1.01,"Perencanaan, Penganggaran, Dan Evaluasi Kinerja Perangkat Daerah",1.01.01.1.01.0010,Penyelenggaraan Walidata Pendukung Statistik Sektoral Daerah,5.1.02.01.001.00025,Belanja Alat/Bahan untuk Kegiatan Kantor- Kertas dan Cover,1176500,Dana Bagi Hasil (DBH)
16,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.0.00.0.00.01.0003,UPT Pusat Pelayanan Keselamatan Terpadu,1.02.02.1.02,"Penyediaan Layanan Kesehatan Untuk Ukp Rujukan, Ukm Dan Ukm Rujukan Tingkat Daerah Provinsi",1.02.02.1.02.0023,Penyediaan Dan Pengelolaan Sistem Penanganan Gawat Darurat Terpadu (Spgdt),5.1.02.04.001.00001,Belanja Perjalanan Dinas Biasa,78988000,Pendapatan Asli Daerah (PAD)
17,1.03.0.00.0.00.01.0000,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,1.03.0.00.0.00.01.0000,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,1.03.12.1.02,Koordinasi Dan Sinkronisasi Perencanaan Tata Ruang,1.03.12.1.02.0005,Peningkatan Kompetensi Sdm Bidang Penataan Ruang,5.1.02.01.001.00024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,124950,Pendapatan Asli Daerah (PAD)
18,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0001,UPT Panti Sosial Anak,1.06.04.1.02,Rehabilitasi Sosial Dasar Anak Terlantar Di Dalam Panti,1.06.04.1.02.0010,Pemberian Pelayanan Penelusuran Keluarga,5.1.02.04.001.00001,Belanja Perjalanan Dinas Biasa,1090000,Pendapatan Asli Daerah (PAD)
19,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.01.1.01,"Perencanaan, Penganggaran, Dan Evaluasi Kinerja Perangkat Daerah",1.02.01.1.01.0001,Penyusunan Dokumen Perencanaan Perangkat Daerah,5.1.02.02.001.00003,"Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia",18000000,Pajak Rokok
20,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.02.1.01,Pengelolaan Pendidikan Sekolah Menengah Atas,1.01.02.1.01.0049,"Pembinaan Minat, Bakat Dan Kreativitas Siswa",5.1.02.05.001.00002,Belanja Penghargaan atas Suatu Prestasi,117000000,DAU yang Ditentukan Penggunaannya Bidang Kesehatan
21,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.0.00.0.00.01.0001,RSUD Undata Provinsi Sulawesi Tengah,1.02.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,1.02.01.1.08.0002,"Penyediaan Jasa Komunikasi, Sumber Daya Air Dan Listrik",5.1.02.02.001.00061,Belanja Tagihan Listrik,123000,Pendapatan Asli Daerah (PAD)
22,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.0.00.0.00.01.0001,RSUD Undata Provinsi Sulawesi Tengah,1.02.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,1.02.01.1.08.0002,"Penyediaan Jasa Komunikasi, Sumber Daya Air Dan Listrik",5.1.02.02.001.00061,Belanja Tagihan Listrik,3456941402,SILPA
23,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.0.00.0.00.01.0004,UPT Laboratorium Kesehatan,1.02.02.1.01,"Penyediaan Fasilitas Pelayanan, Sarana, Prasarana Dan Alat Kesehatan Untuk Ukp Rujukan, Ukm Dan Ukm Rujukan Tingkat Daerah Provinsi",1.02.02.1.01.0010,Pengadaan Alat Kesehatan/Alat Penunjang Medik Fasilitas Layanan Kesehatan,5.1.02.01.004.00248,Belanja Peralatan dan Mesin-Alat Laboratorium-Unit Alat Laboratorium-Alat Laboratorium Umum,70000000,DAU yang Ditentukan Penggunaannya Bidang Kesehatan
24,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0004,Cabang Dinas Pendidikan Wilayah IV,1.01.02.1.02,Pengelolaan Pendidikan Sekolah Menengah Kejuruan,1.01.02.1.02.0045,Pembinaan Kelembagaan Dan Manajemen Sekolah Menengah Kejuruan,5.1.02.01.001.00024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,1064350,DAU yang Ditentukan Penggunaannya Bidang Kesehatan
25,1.03.0.00.0.00.01.0000,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,1.03.0.00.0.00.01.0000,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,1.03.12.1.04,Koordinasi Dan Sinkronisasi Pengendalian Pemanfataan Ruang Daerah Provinsi,1.03.12.1.04.0006,Pengawasan Turbinlak Dan Pengawasan Fungsi Dan Manfaat,5.1.02.02.001.00003,"Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia",1800000,Pendapatan Asli Daerah (PAD)
26,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.02.1.01,Pengelolaan Pendidikan Sekolah Menengah Atas,1.01.02.1.01.0061,Sosialisasi Dan Advokasi Kebijakan Bidang Pendidikan,5.1.02.01.001.00052,Belanja Makanan dan Minuman Rapat,5355000,DAU yang Ditentukan Penggunaannya Bidang Kesehatan
27,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0004,UPT Panti Sosial Rehabilitasi Sosial Penyandang Disabilitas,1.06.04.1.01,Rehabilitasi Sosial Dasar Penyandang Disabilitas Terlantar Di Dalam Panti,1.06.04.1.01.0006,"Pemberian Bimbingan Fisik, Mental, Spiritual Dan Sosial",5.1.02.01.001.00012,Belanja Bahan-Bahan Lainnya,11295000,Pendapatan Asli Daerah (PAD)
28,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0002,Cabang Dinas Pendidikan Wilayah II,1.01.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,1.01.01.1.08.0004,Penyediaan Jasa Pelayanan Umum Kantor,5.1.02.02.001.00061,Belanja Tagihan Listrik,7000000,Dana Bagi Hasil (DBH)
29,1.05.0.00.0.00.02.0000,Badan Penanggulangan Bencana Daerah Provinsi Tengah,1.05.0.00.0.00.02.0000,Badan Penanggulangan Bencana Daerah Provinsi Tengah,1.05.03.1.02,Pelayanan Pencegahan Dan Kesiapsiagaan Terhadap Bencana,1.05.03.1.02.0030,Pelatihan Pencegahan dan Mitigasi Bencana,5.1.02.02.001.00003,"Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia",14400000,Dana Bagi Hasil (DBH)
30,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0005,Cabang Dinas Pendidikan Wilayah V,1.01.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,1.01.01.1.08.0004,Penyediaan Jasa Pelayanan Umum Kantor,5.1.02.02.001.00061,Belanja Tagihan Listrik,32145600,Dana Bagi Hasil (DBH)
31,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.02.1.02,Pengelolaan Pendidikan Sekolah Menengah Kejuruan,1.01.02.1.02.0046,Pengelolaan Dana Bos Sekolah Menengah Kejuruan,5.2.05.89.001.00001,Belanja Modal Aset Tetap Lainnya BOSP-BOS Reguler,5183376000,Dana Alokasi Khusus (DAK)
32,1.05.0.00.0.00.02.0000,Badan Penanggulangan Bencana Daerah Provinsi Tengah,1.05.0.00.0.00.02.0000,Badan Penanggulangan Bencana Daerah Provinsi Tengah,1.05.01.1.02,Administrasi Keuangan Perangkat Daerah,1.05.01.1.02.0002,Penyediaan Administrasi Pelaksanaan Tugas ASN,5.1.02.02.001.00031,Belanja Jasa Tenaga Keamanan,25200000,Dana Alokasi Umum (DAU)
33,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0006,Cabang Dinas Pendidikan Wilayah VI,1.01.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,1.01.01.1.08.0004,Penyediaan Jasa Pelayanan Umum Kantor,5.1.02.01.001.00012,Belanja Bahan-Bahan Lainnya,230280000,Dana Alokasi Umum (DAU)
34,1.03.0.00.0.00.02.0000,Dinas Cipta Karya dan Sumberdaya Air,1.03.0.00.0.00.02.0003,UPT Pengelolaan Sumber Daya Air Wilayah II,1.03.02.1.02,Pengembangan Dan Pengelolaan Sistem Irigasi Primer Dan Sekunder Pada Daerah Irigasi Yang Luasnya 1000 Ha-3000 Ha Dan Daerah Irigasi Lintas Daerah Kabupaten/Kota,1.03.02.1.02.0021,Operasi Dan Pemeliharaan Jaringan Irigasi Permukaan,5.1.02.03.004.00029,Belanja Pemeliharaan Bangunan Air-Bangunan Air Irigasi-Bangunan Pelengkap Irigasi,383927500,Dana Bagi Hasil (DBH)
35,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.01.1.01,"Perencanaan, Penganggaran, Dan Evaluasi Kinerja Perangkat Daerah",1.06.01.1.01.0010,Penyelenggaraan Walidata Pendukung Statistik Sektoral Daerah,5.1.02.01.001.00058,Belanja Makanan dan Minuman Aktivitas Lapangan,387000000,Dana Bagi Hasil (DBH)
36,1.03.0.00.0.00.02.0000,Dinas Cipta Karya dan Sumberdaya Air,1.03.0.00.0.00.02.0000,Dinas Cipta Karya dan Sumberdaya Air,1.03.08.1.01,Penetapan Dan Penyelenggaraan Bangunan Gedung Untuk Kepentingan Strategis Daerah Provinsi,1.03.08.1.01.0019,"Pembangunan, Pemanfaatan, Pelestariaan Dan Pembongkaran Bangunan Gedung Untuk Kepentingan Strategis Daerah Provinsi",5.2.03.01.001.00009,Belanja Modal Bangunan Gedung Tempat Pertemuan,34341149606,Pendapatan Asli Daerah (PAD)
37,1.05.0.00.0.00.02.0000,Badan Penanggulangan Bencana Daerah Provinsi Tengah,1.05.0.00.0.00.02.0000,Badan Penanggulangan Bencana Daerah Provinsi Tengah,1.05.03.1.01,Pelayanan Informasi Rawan Bencana Provinsi,1.05.03.1.01.0004,"Sosialisasi, Komunikasi, Informasi dan Edukasi (KIE) Rawan Bencana Provinsi (Per Jenis Ancaman)",5.1.02.04.001.00001,Belanja Perjalanan Dinas Biasa,2850000,Dana Bagi Hasil (DBH)
38,1.03.0.00.0.00.01.0000,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,1.03.0.00.0.00.01.0000,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,1.03.12.1.04,Koordinasi Dan Sinkronisasi Pengendalian Pemanfataan Ruang Daerah Provinsi,1.03.12.1.04.0009,Operasionalisasi Tugas Dan Fungsi Forum Penataan Ruang,5.1.02.01.001.00052,Belanja Makanan dan Minuman Rapat,3300000,Pendapatan Asli Daerah (PAD)
39,1.05.0.00.0.00.02.0000,Badan Penanggulangan Bencana Daerah Provinsi Tengah,1.05.0.00.0.00.02.0000,Badan Penanggulangan Bencana Daerah Provinsi Tengah,1.05.03.1.02,Pelayanan Pencegahan Dan Kesiapsiagaan Terhadap Bencana,1.05.03.1.02.0013,Penguatan Kapasitas Kawasan Untuk Pencegahan Dan Kesiapsiagaan Bencana,5.1.02.04.001.00001,Belanja Perjalanan Dinas Biasa,69552000,Pendapatan Asli Daerah (PAD)
40,1.05.0.00.0.00.02.0000,Badan Penanggulangan Bencana Daerah Provinsi Tengah,1.05.0.00.0.00.02.0000,Badan Penanggulangan Bencana Daerah Provinsi Tengah,1.05.03.1.02,Pelayanan Pencegahan Dan Kesiapsiagaan Terhadap Bencana,1.05.03.1.02.0013,Penguatan Kapasitas Kawasan Untuk Pencegahan Dan Kesiapsiagaan Bencana,5.1.02.04.001.00001,Belanja Perjalanan Dinas Biasa,43414000,Dana Bagi Hasil (DBH)
41,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0003,UPT Panti Sosial Tresna Werdha Madago Tentena,1.06.04.1.03,Rehabilitasi Sosial Dasar Lanjut Usia Terlantar Di Dalam Panti,1.06.04.1.03.0016,Akses ke Layanan Kesehatan Dasar,5.1.02.02.001.00020,Belanja Jasa Tenaga Penanganan Sosial,9000000,Pendapatan Asli Daerah (PAD)
42,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.02.1.01,Penerbitan Izin Pengumpulan Sumbangan Lintas Daerah Kabupaten/Kota Dalam 1 (Satu) Daerah Provinsi,1.06.02.1.01.0003,Koordinasi dan Sinkronisasi Penyelenggaraan Undian Gratis Berhadiah dan Pengumpulan Uang atau Barang,5.1.02.01.001.00052,Belanja Makanan dan Minuman Rapat,440000,Pendapatan Asli Daerah (PAD)
43,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.01.1.03,Administrasi Barang Milik Daerah Pada Perangkat Daerah,1.01.01.1.03.0005,Rekonsiliasi Dan Penyusunan Laporan Barang Milik Daerah Pada Skpd,5.1.02.01.001.00052,Belanja Makanan dan Minuman Rapat,50750000,Dana Bagi Hasil (DBH)
44,1.05.0.00.0.00.02.0000,Badan Penanggulangan Bencana Daerah Provinsi Tengah,1.05.0.00.0.00.02.0000,Badan Penanggulangan Bencana Daerah Provinsi Tengah,1.05.03.1.03,Pelayanan Penyelamatan Dan Evakuasi Korban Bencana,1.05.03.1.03.0028,Penyediaan Logistik Penyelamatan dan Evakuasi Korban Bencana,5.1.02.02.004.00037,Belanja Sewa Kendaraan Bermotor Angkutan Barang,50000000,Pendapatan Asli Daerah (PAD)
45,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.0.00.0.00.01.0001,RSUD Undata Provinsi Sulawesi Tengah,1.02.01.1.06,Administrasi Umum Perangkat Daerah,1.02.01.1.06.0002,Penyediaan Peralatan Dan Perlengkapan Kantor,5.2.02.05.002.00004,Belanja Modal Alat Pendingin,141960000,SILPA
46,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.04.1.01,Rehabilitasi Sosial Dasar Penyandang Disabilitas Terlantar Di Dalam Panti,1.06.04.1.01.0001,Penyediaan Permakanan,5.1.02.04.001.00001,Belanja Perjalanan Dinas Biasa,73500000,Dana Alokasi Umum (DAU)
47,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.04.1.01,Rehabilitasi Sosial Dasar Penyandang Disabilitas Terlantar Di Dalam Panti,1.06.04.1.01.0001,Penyediaan Permakanan,5.1.02.04.001.00001,Belanja Perjalanan Dinas Biasa,3630000,Pendapatan Asli Daerah (PAD)
48,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.01.1.02,Administrasi Keuangan Perangkat Daerah,1.06.01.1.02.0001,Penyediaan Gaji Dan Tunjangan ASN,5.1.01.01.006.00002,Belanja Tunjangan Beras PPPK,114779786.064,Pendapatan Asli Daerah (PAD)
49,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.01.1.02,Administrasi Keuangan Perangkat Daerah,1.06.01.1.02.0001,Penyediaan Gaji Dan Tunjangan ASN,5.1.01.01.006.00002,Belanja Tunjangan Beras PPPK,33323163.696,Dana Bagi Hasil (DBH)
50,1.03.0.00.0.00.01.0000,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,1.03.0.00.0.00.01.0000,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,1.03.12.1.02,Koordinasi Dan Sinkronisasi Perencanaan Tata Ruang,1.03.12.1.02.0009,Evaluasi Rancangan Peraturan Daerah Tentang Rtrw Kabupaten/Kota,5.1.02.01.001.00052,Belanja Makanan dan Minuman Rapat,18480000,Pendapatan Asli Daerah (PAD)
51,1.05.0.00.0.00.02.0000,Badan Penanggulangan Bencana Daerah Provinsi Tengah,1.05.0.00.0.00.02.0000,Badan Penanggulangan Bencana Daerah Provinsi Tengah,1.05.01.1.09,Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,1.05.01.1.09.0006,Pemeliharaan Peralatan Dan Mesin Lainnya,5.1.02.03.002.00121,Belanja Pemeliharaan Alat Kantor dan Rumah Tangga-Alat Rumah Tangga-Alat Pendingin,18300000,Dana Bagi Hasil (DBH)
52,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.0.00.0.00.01.0000,Dinas Kesehatan Provinsi Sulawesi Tengah,1.02.01.1.02,Administrasi Keuangan Perangkat Daerah,1.02.01.1.02.0001,Penyediaan Gaji Dan Tunjangan ASN,5.1.01.02.005.00001,Tambahan Penghasilan berdasarkan Prestasi Kerja PNS,46452622187.86,Pendapatan Asli Daerah (PAD)
53,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.04.1.01,Rehabilitasi Sosial Dasar Penyandang Disabilitas Terlantar Di Dalam Panti,1.06.04.1.01.0001,Penyediaan Permakanan,5.1.02.02.001.00071,Belanja Lembur,2625000,Dana Bagi Hasil (DBH)
54,1.01.0.00.0.00.01.0000,Dinas Pendidikan Daerah Provinsi Sulawesi Tengah,1.01.0.00.0.00.01.0001,Cabang Dinas Pendidikan Wilayah I,1.01.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,1.01.01.1.08.0004,Penyediaan Jasa Pelayanan Umum Kantor,5.1.02.02.001.00061,Belanja Tagihan Listrik,12051000,Dana Bagi Hasil (DBH)
55,1.06.0.00.0.00.01.0000,Dinas Sosial Provinsi Sulawesi Tengah,1.06.0.00.0.00.01.0001,UPT Panti Sosial Anak,1.06.01.1.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,1.06.01.1.08.0004,Penyediaan Jasa Pelayanan Umum Kantor,5.1.02.01.001.00024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,280000,Dana Bagi Hasil (DBH)
56,1.03.0.00.0.00.01.0000,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,1.03.0.00.0.00.01.0000,Dinas Bina Marga dan Penataan Ruang Provinsi Sulawesi Tengah,1.03.01.1.06,Administrasi Umum Perangkat Daerah,1.03.01.1.06.0011,Dukungan Pelaksanaan Sistem Pemerintahan Berbasis Elektronik Pada Skpd,5.1.02.01.001.00026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,9950000,Pendapatan Asli Daerah (PAD)
