NO,KDSKPD,NMSKPD,KDSUBUNIT,NMSUBUNIT,KDKEGIATAN,NMKEGIATAN,KDSUBKEGIATAN,NMSUBKEGIATAN,KDREK,NMREK,PAGU,SUMBERDANA
2650,2.11.0.00.0.00.01.0000,Dinas Lingkungan Hidup Provinsi Sulawesi Tengah,2.11.0.00.0.00.01.0000,Dinas Lingkungan Hidup Provinsi Sulawesi Tengah,2.11.04.1.01,Pengelolaan Keanekaragaman Hayati Provinsi,2.11.04.1.01.0008,Pengelolaan Taman Keanekaragaman Hayati Di Luar Kawasan Hutan,5.1.02.04.001.00001,Belanja Perjalanan Dinas Biasa,24960000,Pendapatan Asli Daerah (PAD)
2651,2.08.0.00.0.00.01.0000,Dinas Pemberdayaan Perempuan dan Perlindungan Anak Provinsi Sulawesi Tengah,2.08.0.00.0.00.01.0000,Dinas Pemberdayaan Perempuan dan Perlindungan Anak Provinsi Sulawesi Tengah,2.08.03.1.03,Penguatan Dan Pengembangan Lembaga Penyedia Layanan Perlindungan Perempuan Kewenangan Provinsi,2.08.03.1.03.0006,penguatan kerjasama  Antar Lembaga Penyedia Layanan Perlindungan Perempuan Kewenangan Provinsi dan Lintas Daerah Kabupaten/Kota,5.1.02.02.001.00003,"Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia",21600000,Pendapatan Asli Daerah (PAD)
2652,2.08.0.00.0.00.01.0000,Dinas Pemberdayaan Perempuan dan Perlindungan Anak Provinsi Sulawesi Tengah,2.08.0.00.0.00.01.0000,Dinas Pemberdayaan Perempuan dan Perlindungan Anak Provinsi Sulawesi Tengah,2.08.03.1.01,Pencegahan Kekerasan Terhadap Perempuan Yang Melibatkan Para Pihak Lingkup Daerah Provinsi Dan Lintas Daerah Kabupaten/Kota,2.08.03.1.01.0007,Advokasi dan sosialisasi pencegahan KtP dan TPPO kepada pengambil kebijakan dan pemangku kepentingan Kewenangan Provinsi,5.1.02.02.001.00008,"Honorarium Tim Penyusunan Jurnal, Buletin, Majalah, Pengelola Teknologi Informasi dan Pengelola Website",14420000,Dana Alokasi Khusus (DAK)
2653,2.17.0.00.0.00.01.0000,"Dinas Koperasi, Usaha Kecil dan Menengah Provinsi Sulawesi Tengah",2.17.0.00.0.00.01.0000,"Dinas Koperasi, Usaha Kecil dan Menengah Provinsi Sulawesi Tengah",2.17.01.1.06,Administrasi Umum Perangkat Daerah,2.17.01.1.06.0009,Penyelenggaraan Rapat Koordinasi Dan Konsultasi Skpd,5.1.02.01.001.00052,Belanja Makanan dan Minuman Rapat,24420000,Dana Bagi Hasil (DBH)
2654,2.16.2.21.2.20.01.0000,"Dinas Komunikasi, Informatika, Persandian dan Statistik Provinsi Sulawesi Tengah",2.16.2.21.2.20.01.0000,"Dinas Komunikasi, Informatika, Persandian dan Statistik Provinsi Sulawesi Tengah",2.21.02.1.01,Penyelenggaraan Persandian Untuk Pengamanan Informasi Pemerintah Daerah Provinsi,2.21.02.1.01.0005,Pelaksanaan Keamanan Informasi Pemerintahan Daerah Berbasis Elektronik dan Non Elektronik,5.1.02.02.004.00404,Belanja Sewa Komputer Jaringan,60096510,Dana Alokasi Umum (DAU)
2655,2.22.0.00.0.00.01.0000,Dinas Kebudayaan Daerah Provinsi Sulawesi Tengah,2.22.0.00.0.00.01.0000,Dinas Kebudayaan Daerah Provinsi Sulawesi Tengah,2.22.01.1.02,Administrasi Keuangan Perangkat Daerah,2.22.01.1.02.0001,Penyediaan Gaji Dan Tunjangan ASN,5.1.01.01.004.00001,Belanja Tunjangan Fungsional PNS,50689119.29,Pendapatan Asli Daerah (PAD)
2656,2.17.0.00.0.00.01.0000,"Dinas Koperasi, Usaha Kecil dan Menengah Provinsi Sulawesi Tengah",2.17.0.00.0.00.01.0000,"Dinas Koperasi, Usaha Kecil dan Menengah Provinsi Sulawesi Tengah",2.17.01.1.02,Administrasi Keuangan Perangkat Daerah,2.17.01.1.02.0002,Penyediaan Administrasi Pelaksanaan Tugas ASN,5.1.02.02.001.00030,Belanja Jasa Tenaga Kebersihan,150000000,Dana Bagi Hasil (DBH)
2657,2.08.0.00.0.00.01.0000,Dinas Pemberdayaan Perempuan dan Perlindungan Anak Provinsi Sulawesi Tengah,2.08.0.00.0.00.01.0000,Dinas Pemberdayaan Perempuan dan Perlindungan Anak Provinsi Sulawesi Tengah,2.08.06.1.02,Penguatan Dan Pengembangan Lembaga Penyedia Layanan Peningkatan Kualitas Hidup Anak Kewenangan Provinsi,2.08.06.1.02.0007,Koordinasi dan sinkronisasi pelaksanaan pendampingan peningkatan kualitas hidup anak kewenangan provinsi,5.1.02.01.001.00026,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,1550350,Pendapatan Asli Daerah (PAD)
2658,2.07.3.32.0.00.01.0000,Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Tengah,2.07.3.32.0.00.01.0000,Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Tengah,2.07.01.1.02,Administrasi Keuangan Perangkat Daerah,2.07.01.1.02.0001,Penyediaan Gaji Dan Tunjangan ASN,5.1.01.02.001.00001,Tambahan Penghasilan berdasarkan Beban Kerja PNS,455338543.57,Pendapatan Asli Daerah (PAD)
2659,2.13.0.00.0.00.01.0000,Dinas Pemberdayaan Masyarakat dan Desa Provinsi Sulawesi Tengah,2.13.0.00.0.00.01.0000,Dinas Pemberdayaan Masyarakat dan Desa Provinsi Sulawesi Tengah,2.13.04.1.01,Pembinaan Dan Pengawasan Penyelenggaraan Pemerintahan Desa,2.13.04.1.01.0016,Fasilitasi Penetapan Dan Penegasan Batas Desa,5.1.02.01.001.00024,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,2162550,Pendapatan Asli Daerah (PAD)
